url	first_seen	ats	company	sector	title	location	unclear
https://www.betterment.com/careers/current-openings/job?gh_jid=7922405&gh_jid=7922405	2026-05-25	greenhouse	Betterment	asset-mgmt	Product Manager, User Trust	Betterment HQ - New York City	0
https://www.klaviyo.com/careers/jobs?gh_jid=7517734003	2026-05-25	greenhouse	Klaviyo	e-commerce	Senior Lead Product Manager, Enterprise	Boston, MA	0
https://www.klaviyo.com/careers/jobs?gh_jid=7708059003	2026-05-25	greenhouse	Klaviyo	e-commerce	Senior Product Manager, Platform Integrity	Boston, MA	0
https://www.klaviyo.com/careers/jobs?gh_jid=7725304003	2026-05-25	greenhouse	Klaviyo	e-commerce	Senior Product Manager, Product Experience	Boston, MA	0
https://www.klaviyo.com/careers/jobs?gh_jid=7709682003	2026-05-25	greenhouse	Klaviyo	e-commerce	Senior Product Manager, Profiles Platform	Boston, MA	0
https://www.klaviyo.com/careers/jobs?gh_jid=7727704003	2026-05-25	greenhouse	Klaviyo	e-commerce	Senior Technical Program Manager	Boston, MA	0
https://jobs.ashbyhq.com/acorns/2263abeb-73d2-448b-8228-4bc1e500c812	2026-05-25	ashby	Acorns	asset-mgmt	Staff Product Manager, Conversational AI	Remote	1
https://sofi.com/careers/job/7741776003?gh_jid=7741776003	2026-05-25	greenhouse	SoFi	asset-mgmt	Senior Product Manager, Money	Add ALL locations here	1
https://job-boards.greenhouse.io/carta/jobs/7743056003	2026-05-25	greenhouse	Carta	asset-mgmt	Chief of Staff to the Chief Product Officer	San Francisco, California	0
https://job-boards.greenhouse.io/icapitalnetwork/jobs/8488442002	2026-05-25	greenhouse	iCapital	asset-mgmt	Corporate Finance, Revenue Operations - Associate / Assistant Vice President	Greenwich,  Connecticut, United States	0
https://job-boards.greenhouse.io/icapitalnetwork/jobs/8554896002	2026-05-25	greenhouse	iCapital	asset-mgmt	Product Manager, Investment Reporting - Vice President	New York, New York, United States	0
https://www.brex.com/careers/8433470002?gh_jid=8433470002	2026-05-25	greenhouse	Brex	fintech	Director of Product, Growth/AI	Seattle, Washington, United States	0
https://www.brex.com/careers/8522919002?gh_jid=8522919002	2026-05-25	greenhouse	Brex	fintech	Director, Organic Growth & Discoverability	New York, New York, United States	0
https://www.brex.com/careers/8438584002?gh_jid=8438584002	2026-05-25	greenhouse	Brex	fintech	Group Product Manager	Vancouver, British Columbia, Canada	1
https://www.brex.com/careers/8432702002?gh_jid=8432702002	2026-05-25	greenhouse	Brex	fintech	Staff Product Manager	New York, New York, United States	0
https://www.brex.com/careers/8436528002?gh_jid=8436528002	2026-05-25	greenhouse	Brex	fintech	Staff Product Manager, Growth	New York, New York, United States	0
https://stripe.com/jobs/search?gh_jid=7206336	2026-05-25	greenhouse	Stripe	fintech	Commercial Solutions Program Manager	Chicago, IL , Remote	0
https://stripe.com/jobs/search?gh_jid=7869917	2026-05-25	greenhouse	Stripe	fintech	Product Lead, Support Experience	Seattle, Washington, United States	0
https://stripe.com/jobs/search?gh_jid=7809139	2026-05-25	greenhouse	Stripe	fintech	Product Manager, Growth AI Outreach Motion 	Toronto, Remote- Canada	1
https://stripe.com/jobs/search?gh_jid=7913698	2026-05-25	greenhouse	Stripe	fintech	Product Manager, Sail Core	Toronto	1
https://stripe.com/jobs/search?gh_jid=7920028	2026-05-25	greenhouse	Stripe	fintech	Product Manager, Support Experience	Seattle, Washington, United States	0
https://stripe.com/jobs/search?gh_jid=7922532	2026-05-25	greenhouse	Stripe	fintech	Program Manager, Go To Market	SF	1
https://stripe.com/jobs/search?gh_jid=7915142	2026-05-25	greenhouse	Stripe	fintech	Program Manager, GTM Strategic Programs	San Francisco, Seattle, NYC	0
https://stripe.com/jobs/search?gh_jid=7917252	2026-05-25	greenhouse	Stripe	fintech	Program Manager, Security Business Enablement	US - Remote	1
https://stripe.com/jobs/search?gh_jid=7559403	2026-05-25	greenhouse	Stripe	fintech	Program Manager, Third Party Risk	SF, SEA, CHI, NYC, ATL	1
https://stripe.com/jobs/search?gh_jid=7913702	2026-05-25	greenhouse	Stripe	fintech	Staff Product Manager, Dashboard	San Francisco, Seattle, NYC, Chicago, Atlanta, US Remote	0
https://stripe.com/jobs/search?gh_jid=7920219	2026-05-25	greenhouse	Stripe	fintech	Staff Product Manager, Support Experience	San Francisco, California, United States	0
https://www.alloy.com/about/jobs/detail?gh_jid=8545516002&gh_jid=8545516002	2026-05-25	greenhouse	Alloy	fintech	Strategic Operations Manager, Technical Solutions	New York City	0
https://jobs.ashbyhq.com/ramp/1db75064-e38c-4b21-8310-21471943d0be	2026-05-25	ashby	Ramp	fintech	Technical Program Manager	New York, NY (HQ)	0
https://job-boards.greenhouse.io/affirm/jobs/7686483003	2026-05-25	greenhouse	Affirm	fintech	Revenue Operations Lead	Remote Canada	1
https://job-boards.greenhouse.io/affirm/jobs/7721485003	2026-05-25	greenhouse	Affirm	fintech	Senior Partner Growth Manager	Remote Canada	1
https://job-boards.greenhouse.io/affirm/jobs/7620529003	2026-05-25	greenhouse	Affirm	fintech	Senior Product Manager, Card Experience	Remote Canada	1
https://job-boards.greenhouse.io/affirm/jobs/7605852003	2026-05-25	greenhouse	Affirm	fintech	Senior Product Manager, Financial Reporting	Remote Canada	1
https://job-boards.greenhouse.io/affirm/jobs/7694938003	2026-05-25	greenhouse	Affirm	fintech	Staff Product Manager, Affirm Bank	Remote US	1
https://job-boards.greenhouse.io/affirm/jobs/7728591003	2026-05-25	greenhouse	Affirm	fintech	Staff Technical Program Manager	Remote Canada	1
https://boards.greenhouse.io/chime/jobs/8535236002?gh_jid=8535236002	2026-05-25	greenhouse	Chime	fintech	Program Manager, Performance Effectiveness	Remote, USA	0
https://boards.greenhouse.io/chime/jobs/8529549002?gh_jid=8529549002	2026-05-25	greenhouse	Chime	fintech	Senior Director, Strategy and Growth Initiatives	San Francisco, CA, USA	0
https://jobs.ashbyhq.com/lemonade/74713283-1d7b-4701-8785-3130ad3ae695	2026-05-25	ashby	Lemonade	fintech	Senior Payments Product Manager	EU	1
